"Var1";"Var2";"Freq"
"13";"Action";"X1";588
"14";"Adventure";"X1";124
"15";"Animation";"X1";168
"16";"Biography";"X1";113
"17";"Comedy";"X1";1179
"18";"Crime";"X1";188
"19";"Other";"X1";1
"20";"Drama";"X1";1595
"21";"Family";"X1";64
"22";"Fantasy";"X1";32
"24";"Other";"X1";11
"25";"Horror";"X1";416
"26";"Musical";"X1";7
"27";"Musical";"X1";16
"28";"Mystery";"X1";42
"33";"Romance";"X1";97
"34";"SciFi";"X1";49
"35";"Other";"X1";3
"36";"Thriller";"X1";242
"37";"Other";"X1";9
"38";"Other";"X1";8
"54";"Action";"X2";33
"55";"Adventure";"X2";133
"56";"Animation";"X2";0
"57";"Biography";"X2";11
"58";"Comedy";"X2";153
"59";"Crime";"X2";134
"60";"Other";"X2";0
"61";"Drama";"X2";677
"62";"Family";"X2";92
"63";"Fantasy";"X2";66
"65";"Other";"X2";50
"66";"Horror";"X2";174
"67";"Musical";"X2";34
"68";"Musical";"X2";16
"69";"Mystery";"X2";118
"74";"Romance";"X2";245
"75";"SciFi";"X2";0
"76";"Other";"X2";33
"77";"Thriller";"X2";298
"78";"Other";"X2";17
"79";"Other";"X2";6
"95";"Action";"X3";0
"96";"Adventure";"X3";14
"97";"Animation";"X3";0
"98";"Biography";"X3";3
"99";"Comedy";"X3";53
"100";"Crime";"X3";27
"101";"Other";"X3";0
"102";"Drama";"X3";131
"103";"Family";"X3";66
"104";"Fantasy";"X3";62
"106";"Other";"X3";41
"107";"Horror";"X3";54
"108";"Musical";"X3";29
"109";"Musical";"X3";17
"110";"Mystery";"X3";65
"115";"Romance";"X3";155
"116";"SciFi";"X3";0
"117";"Other";"X3";15
"118";"Thriller";"X3";291
"119";"Other";"X3";21
"120";"Other";"X3";12
